City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,shakawe,-18.3667,21.85,17.98,26,0,1.56,BW,1728610570
316,polyarnyy,69.1989,33.4478,3.13,90,100,9.63,RU,1728610571
317,port macquarie,-31.4333,152.9167,21.71,75,0,2.68,AU,1728610572
318,tarko-sale,64.9225,77.785,-3.53,88,92,6.48,RU,1728610573
319,bangassou,4.7413,22.8184,19.9,99,40,0.74,CF,1728610574
320,selkirk,50.1436,-96.8845,14.54,74,100,4.02,CA,1728610575
321,walvis bay,-22.9575,14.5053,14.53,72,0,1.54,NA,1728610576
322,klamath falls,42.2249,-121.7817,22.95,30,0,2.57,US,1728610577
323,paso de los toros,-32.8167,-56.5167,16.54,97,100,2.86,UY,1728610579
324,kalemie,-5.9475,29.1947,22.5,81,99,2.95,CD,1728610580
325,al jawf,29.5,38.75,21.91,31,0,3.23,SA,1728610581
326,palmas,-10.2128,-48.3603,27.93,61,20,3.6,BR,1728610109
327,st. john's,47.5649,-52.7093,10.31,96,20,3.09,CA,1728610456
328,inhambane,-23.865,35.3833,19.75,79,0,2.61,MZ,1728610584
329,axim,4.8699,-2.2405,24.59,92,11,2.15,GH,1728610585
330,kingscliff,-28.2667,153.5667,23.3,64,75,5.66,AU,1728610587
331,cileunyi,-6.9389,107.7528,27.75,73,20,1.69,ID,1728610589
332,luderitz,-26.6481,15.1594,15.05,71,7,4.8,NA,1728610590
333,mili,6.0815,171.735,28.66,73,94,3.85,MH,1728610591
334,sao tome,0.3365,6.7273,25.21,84,100,3.31,ST,1728610592
335,strathalbyn,-35.2667,138.9,17.14,68,4,5.37,AU,1728610593
336,port blair,11.6667,92.75,27.02,89,20,1.03,IN,1728610594
337,acarau,-2.8856,-40.12,25.57,79,75,6.72,BR,1728610595
338,tonekabon,36.8163,50.8738,19.97,88,76,1.22,IR,1728610596
339,conceicao da barra,-18.5933,-39.7322,23.03,95,100,3.62,BR,1728610598
340,tshikapa,-6.4167,20.8,21.61,92,100,1.4,CD,1728610599
341,bokhan,53.153,103.7714,1.78,60,100,2.19,RU,1728610600
342,lompoc,34.6391,-120.4579,20.38,85,0,3.6,US,1728610601
343,zaragoza,41.6561,-0.8773,13.78,67,20,3.09,ES,1728610602
344,archangelos,36.2149,28.1149,22.39,89,88,2.29,GR,1728610603
345,scarborough,54.2797,-0.4044,3.21,84,1,1.79,GB,1728610289
346,namibe,-15.1961,12.1522,18.92,85,9,1.52,AO,1728610605
347,smithers,54.7804,-127.1743,8.18,71,75,0.0,CA,1728610606
348,igarka,67.4667,86.5833,-8.62,91,92,6.98,RU,1728610608
349,tura,25.5198,90.2201,24.64,93,25,1.64,IN,1728610609
350,kuqa,41.7278,82.9364,17.83,31,86,1.33,CN,1728610610
351,quepos,9.4236,-84.1652,25.2,90,100,0.83,CR,1728610433
352,lihue,21.9789,-159.3672,28.77,65,75,5.66,US,1728610577
353,aberdeen,57.1437,-2.0981,6.27,83,100,4.63,GB,1728610613
354,nadym,65.5333,72.5167,-2.71,83,87,5.29,RU,1728610614
355,maebaru-chuo,33.55,130.2,22.82,57,3,4.47,JP,1728610615
356,corralillo,22.9819,-80.5856,26.08,79,62,2.39,CU,1728610616
357,pontevedra,42.431,-8.6444,13.5,88,100,2.24,ES,1728610325
358,port elizabeth,-33.918,25.5701,15.17,89,0,5.14,ZA,1728610619
359,long beach,33.767,-118.1892,23.03,79,0,5.66,US,1728610376
360,isla mujeres,21.2311,-86.731,26.03,70,23,5.97,MX,1728610621
361,shingu,33.7333,135.9833,22.99,60,100,1.55,JP,1728610622
